hour,avg_cpu,avg_memory
0,0.02130232634509679,0.021073451919385082
1,0.008265380432665432,0.004105929465172299
2,0.02165278213407545,0.021584898403254744
3,0.008234520881758184,0.004094524656364167
4,0.008290719575496652,0.004092654844977824
5,0.02169895068114263,0.02158497924772881
6,0.008229826060681435,0.00409321538381081
7,0.008212275667647111,0.004065870511182659
8,0.021285759740359542,0.02104618002103693
9,0.008217430817573269,0.004059168548182625
10,0.021632921490487407,0.02159388011005061
11,0.008266907690008462,0.0041065091553484
12,0.008220449696054602,0.004081796320576631
13,0.021733593088388972,0.021573497199081693
14,0.008276301587459187,0.004079945724170363
15,0.008225379614978087,0.004077382985455404
16,0.02130233965145826,0.021093283373995093
17,0.008225989638826649,0.004075517395548843
18,0.021642087771120023,0.02160525833311592
19,0.008254131864171739,0.004099648399943384
20,0.008227717051784617,0.0040772023072025215
21,0.021678581921813544,0.02159047134451312
22,0.008247222943843493,0.004118978918566364
23,0.008242389114538284,0.004062697869281818
